,rewards,losses
0,-26788,129379.85664550781
1,-26761,17333.32259277344
2,-29912,14241.670870361328
3,-30751,13373.831810302734
4,-29811,16674.595427246095
5,-29816,16845.68001464844
6,-29816,16782.526513671874
7,-26761,16857.472990722657
8,-29686,12959.420084228515
9,-26761,12368.185667724609
10,-29241,9889.442622070312
11,-27210,8961.263514404296
12,-26761,7490.961989746093
13,-26761,7710.84732421875
14,-26761,7313.431040039062
15,-26761,7046.847377929687
16,-26761,6980.888615722656
17,-26761,6584.869525146484
18,-26761,7637.7117211914065
19,-29241,7733.376041259766
20,-29241,9823.214813232422
21,-29745,9285.278704833985
22,-29241,8431.925268554687
23,-29241,8868.675684814452
24,-29241,10877.151047973633
25,-29241,10951.563278808593
26,-28569,8716.23297241211
27,-26761,12399.779173583984
28,-26761,12471.085571289062
29,-26761,10567.109007568359
30,-26761,7016.304404296875
31,-26761,7853.835656738282
32,-26761,12811.976179199219
33,-26761,10657.268912353516
34,-26761,9636.85708618164
35,-26761,10859.98163696289
36,-26761,13188.187467651367
37,-26761,12621.686719970703
38,-26761,18587.8391998291
39,-26761,12472.329285888673
40,-29311,8423.604764404297
41,-26761,13406.770086669922
42,-26918,11555.806903076173
43,-26761,15617.901556396484
44,-26761,12579.7916015625
45,-26761,15068.288735961914
46,-28993,21205.959595947264
47,-29241,33896.4999987793
48,-29241,42628.93453735352
49,-29241,52408.928364257816
50,-29241,50046.893479003906
51,-29241,53823.024584960935
52,-29241,65456.75302734375
53,-29241,69589.33202636719
54,-28949,64255.251428222655
55,-29051,58745.17135498047
56,-29241,72538.44072753907
57,-29690,69176.80779785156
58,-29905,59890.60125976562
59,-29905,54126.32432128906
60,-29690,69315.07744140625
61,-29905,53524.66010253906
62,-29889,50502.54612548828
63,-29905,59419.34456054687
64,-29889,53774.468291015626
65,-29889,51886.69024414063
66,-29889,42453.76474365234
67,-29889,41183.539074707034
68,-29664,46365.388322753905
69,-30204,42721.10336181641
70,-30343,35474.22368408203
71,-30204,34285.76614501953
72,-30191,41648.279260253905
73,-30121,27632.96600830078
74,-29984,29209.534560546876
75,-29984,34668.35197998047
76,-29984,37607.52038574219
77,-29984,34043.98315673828
78,-29984,41441.40628173828
79,-29984,28101.967438964843
80,-29984,30906.397099609374
81,-29984,21058.44811767578
82,-29984,34015.018287353516
83,-29984,22118.50130859375
84,-29984,21236.74918457031
85,-29984,29272.56414794922
86,-29984,24276.85120605469
87,-29984,23916.00666748047
88,-29984,19340.910485839842
89,-29984,21765.9033203125
90,-30829,22838.246960449218
91,-28824,34789.33052001953
92,-28646,26419.309118652345
93,-28775,30572.780991210937
94,-28775,30144.61916748047
95,-28846,22845.61515625
96,-28688,23725.332893066407
97,-28688,35350.18414794922
98,-28688,34916.185119628906
99,-28824,39828.94867675781
